rent_address,min_distance,min_duration
24-6-8-avondale-road-armadale-vic-3143-16074178,8794.34,899.15
3-564c-moreland-road-brunswick-west-vic-3055-16074162,12463.77,1094.58
8-7-9-bell-street-coburg-vic-3058-16074155,13238.99,1364.96
6-103-walpole-street-kew-vic-3101-16074115,12907.21,1243.59
6-14-pitt-street-brunswick-vic-3056-16074091,9852.55,1047.36
68-dover-street-caulfield-south-vic-3162-16074034,12209.3,1023.4
27-donna-buang-street-camberwell-vic-3124-15704271,14331.27,1238.58
504-2-6-duckett-street-brunswick-vic-3056-16073933,10504.94,1145.7
2-24-barunah-street-hadfield-vic-3046-16073906,18674.66,1662.88
1901-368-st-kilda-road-melbourne-vic-3000-16073890,3251.59,433.81
5-58-alexandra-st-st-kilda-east-vic-3183-16073874,6988.53,662.59
1211-200-spencer-street-melbourne-vic-3000-16073870,3751.84,408.21
2-841-toorak-road-hawthorn-east-vic-3123-16073848,13029.22,1105.17
35-stratus-street-tarneit-vic-3029-16073803,32382.97,2174.31
5-661-663-nepean-highway-brighton-east-vic-3187-16073805,14155.21,1227.18
35-stratus-street-tarneit-vic-3029-16073803,32382.97,2174.31
10-3-robin-street-altona-vic-3018-16073665,19840.01,1548.67
4-48-weir-street-balwyn-vic-3103-16073644,17101.88,1563.1
13-draconis-lane-williams-landing-vic-3027-16073635,24356.47,1463.29
2c-381-toorak-road-south-yarra-vic-3141-16073632,5916.18,708.68
61-acland-street-st-kilda-vic-3182-16073629,4587.35,502.58
2-5-ellis-road-glen-iris-vic-3146-16073465,11424.87,1073.02
100-clarendon-street-coburg-vic-3058-16073408,14304.56,1242.55
9-55-blackwood-street-carnegie-vic-3163-16073375,13196.3,1161.6
93-chomley-street-prahran-vic-3181-16073373,8030.66,817.78
10-11-irving-avenue-prahran-vic-3181-16073356,7605.27,762.14
167-richardson-street-middle-park-vic-3206-16073349,1713.3,221.99
52-hope-street-brunswick-vic-3056-16048861,10618.03,1151.56
1-11-woorigoleen-road-toorak-vic-3142-16073252,7358.2,860.59
5-26-union-street-richmond-vic-3121-16073238,6890.39,824.39
1-82-ashley-street-west-footscray-vic-3012-16073237,13915.14,1291.71
46-alder-st-caulfield-south-vic-3162-16073205,11437.31,977.1
807-2-joseph-road-footscray-vic-3011-16073204,8551.68,963.44
30-edenhope-circuit-armstrong-creek-vic-3217-16073183,89782.34,4367.91
67-weir-loop-bundoora-vic-3083-16073139,22276.89,2131.48
1-66-riddell-parade-elsternwick-vic-3185-16073001,8880.32,911.13
6-359-balaclava-road-caulfield-north-vic-3161-16073003,10265.23,884.85
404-466-lygon-street-brunswick-vic-3056-16072893,10614.79,1092.38
1102-6-joseph-road-footscray-vic-3011-15336314,8669.32,977.56
14-hawson-avenue-glen-huntly-vic-3163-16072886,12682.41,1079.75
16-macedon-close-caroline-springs-vic-3023-16072871,28437.18,1686.94
105-88-cambridge-street-collingwood-vic-3066-15175620,7124.52,809.91
604-7-king-street-prahran-vic-3181-16072835,6687.72,694.0
512-803-dandenong-road-malvern-east-vic-3145-16072805,10749.38,937.2
9-47-49-caroline-street-south-yarra-vic-3141-16072801,4846.59,596.84
6d-9-beach-street-port-melbourne-vic-3207-16072776,1110.35,152.37
3-20-malvern-grove-caulfield-north-vic-3161-16072766,9283.89,856.97
1-3-goldsmith-st-elwood-vic-3184-16072668,6682.49,711.34
601-5-olive-york-way-brunswick-west-vic-3055-15143998,13560.28,1225.68
22-davis-avenue-south-yarra-vic-3141-16072495,5334.22,663.2
9-123-beaconsfield-parade-albert-park-vic-3206-16072484,1657.61,182.93
301-10-12-high-street-glen-iris-vic-3146-16072393,14884.93,1223.22
3-40-northcote-avenue-caulfield-north-vic-3161-15503694,10567.13,927.9
5-556-dandenong-rd-caulfield-north-vic-3161-16072372,9174.4,877.85
3-102-truganini-road-carnegie-vic-3163-15350999,13815.75,1176.27
1-1-namur-street-kew-east-vic-3102-16072307,15325.8,1456.98
8-19-21-abbott-street-sandringham-vic-3191-16072299,15091.95,1470.15
2705-14-16-the-esplanade-st-kilda-vic-3182-16072154,4593.39,482.38
10-110-caroline-street-south-yarra-vic-3141-16072135,5270.35,643.35
3-27-flinders-lane-melbourne-vic-3000-16072122,5048.57,602.22
2-34-westerfield-drive-notting-hill-vic-3168-16072082,25094.91,1698.54
45-69-palmer-street-richmond-vic-3121-16072067,10185.96,918.69
613b-455-glen-huntly-road-elsternwick-vic-3185-16072040,9370.27,847.38
3-45-westbury-st-st-kilda-east-vic-3183-16071948,6246.06,625.52
102-9-bligh-place-melbourne-vic-3000-16071806,4151.8,494.3
4-34-horne-street-elsternwick-vic-3185-16071700,8200.85,815.52
89-marshall-street-ivanhoe-vic-3079-16071672,18425.93,1586.61
201-18-claremont-street-south-yarra-vic-3141-16071671,5739.3,738.52
607-7-claremont-street-south-yarra-vic-3141-16071649,5805.85,750.5
408-2-elland-avenue-box-hill-vic-3128-11439410,24231.24,1811.88
304-17-gordon-street-elsternwick-vic-3185-16071640,8141.84,819.01
1-14-bletchley-road-hughesdale-vic-3166-16071580,15600.19,1355.82
260-adderley-street-west-melbourne-vic-3003-16071421,5138.72,597.92
207-esplanade-west-port-melbourne-vic-3207-16071401,413.2,68.33
75-pethajohn-parade-grovedale-vic-3216-16071375,84363.83,3911.01
14-straughan-st-glen-iris-vic-3146-16053776,15375.32,1338.45
37-kireep-road-balwyn-vic-3103-16071098,18071.33,1630.19
9-20-kooyong-road-caulfield-north-vic-3161-16071029,8308.78,789.69
15-2-the-vaucluse-richmond-vic-3121-15094456,7309.35,867.59
103-107-cambridge-street-collingwood-vic-3066-16070749,7303.41,841.52
17-3-seisman-place-port-melbourne-vic-3207-16070746,339.33,52.78
10-39-41-abbott-street-sandringham-vic-3191-16070656,15336.29,1489.69
2-23-jean-street-cheltenham-vic-3192-16070584,20641.22,1991.59
1-307-309-bay-road-cheltenham-vic-3192-16070516,19043.58,1718.18
1008-80-clarendon-street-southbank-vic-3006-16070358,2285.06,296.65
30-8-graham-street-port-melbourne-vic-3207-16070356,562.27,76.13
345-station-street-carlton-north-vic-3054-16070322,8522.94,944.35
22-whites-rd-mount-duneed-vic-3217-16070194,89616.33,4286.42
538-22-barkly-street-brunswick-east-vic-3057-16070143,9492.13,1042.3
234-tucker-road-mckinnon-vic-3204-16070139,16126.51,1363.17
205-20-garden-street-south-yarra-vic-3141-16069955,5914.65,715.74
7-50-carlisle-street-st-kilda-vic-3182-15751006,5432.0,530.52
3-27-royal-avenue-springvale-vic-3171-16069826,30738.78,2238.9
1006-1-clara-street-south-yarra-vic-3141-16069801,5828.78,718.29
118-clark-street-port-melbourne-vic-3207-14198116,1550.88,188.25
55-great-valley-road-glen-iris-vic-3146-16069673,14577.58,1231.35
5-47-mary-street-richmond-vic-3121-16069592,10153.03,917.62
105-10-porter-street-prahran-vic-3181-16069578,6168.05,678.64
107-lyons-street-port-melbourne-vic-3207-16069564,728.88,113.74
107-801-whitehorse-road-mont-albert-vic-3127-16069503,19257.61,1709.1
307-1c-michael-street-brunswick-vic-3056-16069494,9274.14,994.36
8-1512-malvern-road-glen-iris-vic-3146-16069445,13699.26,1099.69
205-2a-clarence-street-malvern-east-vic-3145-16069391,10763.08,1018.98
11-290-south-road-hampton-east-vic-3188-16069282,15496.31,1488.79
24-brooklyn-avenue-caulfield-south-vic-3162-16069207,11784.39,1025.35
6-645-malvern-road-toorak-vic-3142-16069122,8245.91,811.09
9-139-melbourne-avenue-glenroy-vic-3046-16069112,18824.37,1678.1
8-27-beena-avenue-carnegie-vic-3163-16069094,13887.23,1214.85
705-8-joseph-road-footscray-vic-3011-16069015,8677.85,978.58
705-8-joseph-road-footscray-vic-3011-16069015,8677.85,978.58
311-75-wellington-st-collingwood-vic-3066-16068804,7027.88,796.74
705-8-joseph-road-footscray-vic-3011-16069015,8677.85,978.58
4-73-alma-road-st-kilda-vic-3182-16068784,5550.66,565.14
803-597-sydney-road-brunswick-vic-3056-16068732,10406.48,1135.06
11-326-plenty-road-preston-vic-3072-16068669,14705.76,1414.96
101-439-bay-street-brighton-vic-3186-16068532,10935.72,1118.06
8-182-barkly-street-fitzroy-north-vic-3068-16068469,9900.77,1016.63
303-250-st-kilda-road-melbourne-vic-3004-16068286,3291.76,493.73
