rent_address,mall,min_distance,min_duration
508-839-dandenong-road-malvern-east-vic-3145-16082365,Acland Court Shopping Centre,950.95,149.27
9-ruyton-street-camberwell-vic-3124-15797618,206 Bourke Street,3964.15,349.96
4-360-carlisle-street-balaclava-vic-3183-16082332,206 Bourke Street,1776.74,215.84
111l-378-390-st-georges-road-fitzroy-north-vic-3068-16082319,Acland Court Shopping Centre,2192.28,239.84
713-32-bray-street-south-yarra-vic-3141-16082306,Balnarring Village Shopping Centre,451.5,50.45
14-21-marine-parade-st-kilda-vic-3182-16082302,206 Bourke Street,931.64,125.51
3-4-stillman-street-richmond-vic-3121-16082280,Barkly Square,2050.17,255.56
7-larnook-street-prahran-vic-3181-16082241,Barrabool Hills Plaza,1954.84,204.58
10-nicholson-street-south-yarra-vic-3141-16082198,Belmont Village,1221.84,115.96
5-2-kipling-street-st-kilda-vic-3182-16082197,206 Bourke Street,1550.69,171.71
2-4-anne-street-wodonga-vic-3690-16082183,Altona Gate Shopping Centre,1356.81,181.41
1703-89-103-gladstone-street-south-melbourne-vic-3205-16082171,Barkly Square,931.18,192.79
512-77-river-street-south-yarra-vic-3141-16082119,Belmont Village,175.1,20.57
15a-the-avenue-windsor-vic-3181-16082070,Altona Gate Shopping Centre,1531.5,133.91
11-turner-street-abbotsford-vic-3067-16082069,Barrabool Hills Plaza,3239.03,359.48
7-21-dawson-avenue-brighton-vic-3186-16082004,206 Bourke Street,3620.08,402.08
242-chandler-road-keysborough-vic-3173-16081963,206 Bourke Street,2159.31,201.1
3002-288-spencer-st-melbourne-vic-3000-16081949,Box Hill Central,524.17,87.88
113-2-hobson-street-south-yarra-vic-3141-16068562,Altona Gate Shopping Centre,709.36,48.74
130-471-malvern-road-south-yarra-vic-3141-16068569,Altona Gate Shopping Centre,755.78,45.83
880-swanston-street-carlton-vic-3053-16081935,Bendigo Marketplace,2038.79,254.19
1507-12-queens-rd-melbourne-vic-3004-16081919,Bentons Square Shopping Centre,2275.84,237.79
1-333-coventry-street-south-melbourne-vic-3205-16081898,Barkly Square,1681.14,294.75
9-491-south-road-bentleigh-vic-3204-16081842,Acland Court Shopping Centre,1656.22,228.61
3-76-glen-iris-road-glen-iris-vic-3146-16081785,Balnarring Village Shopping Centre,2371.46,209.73
1-30-swindon-road-hughesdale-vic-3166-16081742,Balnarring Village Shopping Centre,617.93,114.03
108-326-328-burwood-highway-burwood-vic-3125-16081726,206 Bourke Street,3255.13,323.3
8-62-hawthorn-road-caulfield-north-vic-3161-16081715,Acland Court Shopping Centre,1397.83,165.95
34-donald-st-highett-vic-3190-16081654,206 Bourke Street,400.7,50.26
4-84-rochester-rd-balwyn-vic-3103-16081633,206 Bourke Street,3693.79,387.81
127-willow-bend-bulleen-vic-3105-16081615,206 Bourke Street,2749.98,255.47
1292-north-road-oakleigh-south-vic-3167-16081578,Acland Court Shopping Centre,2032.47,205.55
3-1-john-street-box-hill-vic-3128-16081572,206 Bourke Street,721.18,106.71
1-118-brighton-street-richmond-vic-3121-16081521,Bellpost Shopping Centre,900.52,119.68
1-128-moriah-street-clayton-vic-3168-16081488,206 Bourke Street,2992.71,397.91
2-33-frank-avenue-clayton-vic-3168-14995545,Acland Court Shopping Centre,4097.12,553.03
1-26-adrian-street-chadstone-vic-3148-16081445,Acland Court Shopping Centre,3022.14,297.83
15-fintonia-street-hughesdale-vic-3166-16081433,Balnarring Village Shopping Centre,2017.66,289.99
41-bishop-street-oakleigh-vic-3166-16081385,Acland Court Shopping Centre,1002.76,153.06
78-palmerston-crescent-south-melbourne-vic-3205-16081321,Brandon Park Shopping Centre,2744.46,321.39
10-2-johnson-street-northcote-vic-3070-16081202,206 Bourke Street,916.89,129.05
310-770b-toorak-road-road-glen-iris-vic-3146-16081171,Altona Gate Shopping Centre,33.29,3.48
9-63-millswyn-street-south-yarra-vic-3141-16081143,Brandon Park Shopping Centre,1710.05,189.21
1-1013-dandenong-road-malvern-east-vic-3145-16081072,206 Bourke Street,999.62,110.67
2-2-smith-street-richmond-vic-3121-16081068,Altona Gate Shopping Centre,2357.17,335.65
2-997-dandenong-road-malvern-east-vic-3145-16081041,Acland Court Shopping Centre,909.1,112.75
60-poplar-avenue-shepparton-vic-3630-16080936,206 Bourke Street,3699.14,390.9
11-york-street-prahran-vic-3181-15901403,Altona Gate Shopping Centre,1108.69,107.76
516-77-river-street-south-yarra-vic-3141-16080824,Belmont Village,175.1,20.57
4-180-little-collins-street-melbourne-vic-3000-16080818,Brandon Park Shopping Centre,197.63,29.93
1304e-9-robert-street-collingwood-vic-3066-16080814,Altona Gate Shopping Centre,2287.0,316.15
23-2-wellington-crescent-east-melbourne-vic-3002-16080787,Bayside Shopping Centre,1021.8,144.43
1303-8-joseph-road-footscray-vic-3011-16080780,206 Bourke Street,1026.36,157.92
209-8-garfield-street-richmond-vic-3121-16080755,Altona Gate Shopping Centre,2375.88,334.38
6-6-prince-edward-ave-mckinnon-vic-3204-16080738,206 Bourke Street,4422.14,399.85
2-6-millward-street-brunswick-vic-3056-16080703,206 Bourke Street,1379.54,150.38
9-328-johnston-street-abbotsford-vic-3067-16080546,Barrabool Hills Plaza,3119.66,343.9
107-176-argyle-street-fitzroy-vic-3065-16080545,Balnarring Village Shopping Centre,2348.22,338.73
16-174-peel-street-windsor-vic-3181-16080532,Acland Court Shopping Centre,1237.33,116.74
9-67-blyth-st-brunswick-vic-3056-16080531,206 Bourke Street,1823.06,210.02
17-81-edinburgh-street-richmond-vic-3121-16080509,Barrabool Hills Plaza,2133.6,254.74
10-2-lawson-grove-south-yarra-vic-3141-16080499,Bulleen Plaza,1034.5,117.94
126-243-249a-bridge-road-richmond-vic-3121-16080478,Bellpost Shopping Centre,2227.18,261.57
23-hamer-street-moorabbin-vic-3189-16080433,Acland Court Shopping Centre,879.34,170.89
1605-565-flinders-street-melbourne-vic-3000-16080390,Brand Smart Premium Outlet Centre,342.86,59.62
705-26-southgate-avenue-southbank-vic-3006-16080371,Brandon Park Shopping Centre,2080.87,306.93
44-chandler-road-noble-park-vic-3174-16080368,206 Bourke Street,4095.28,361.39
85-dunstan-parade-port-melbourne-vic-3207-16080357,206 Bourke Street,3571.9,546.86
54-kemp-avenue-mount-waverley-vic-3149-16080319,Acland Court Shopping Centre,2300.75,277.93
5-200-cotham-road-kew-vic-3101-16080273,206 Bourke Street,3470.76,353.96
5-141-park-street-moonee-ponds-vic-3039-16080239,Barkly Square,1762.15,203.43
146-raleigh-street-thornbury-vic-3071-16080236,206 Bourke Street,1716.66,269.54
1-38-alma-rd-st-kilda-vic-3182-16080210,206 Bourke Street,1312.62,164.16
39a-wattle-grove-mulgrave-vic-3170-16080168,Acland Court Shopping Centre,2556.77,402.23
6-30-docker-street-elwood-vic-3184-16080165,206 Bourke Street,2697.38,285.94
8-10-lincoln-road-essendon-vic-3040-16080138,Barkly Square,2302.34,254.76
g05-18-railway-crescent-hampton-vic-3188-16080133,206 Bourke Street,4296.21,432.88
2005-178-edward-street-brunswick-east-vic-3057-16080082,206 Bourke Street,1196.5,166.1
2308-6-joseph-road-footscray-vic-3011-16080066,206 Bourke Street,1017.84,156.9
6-137-coppin-street-richmond-vic-3121-16080016,Barrabool Hills Plaza,2060.95,222.32
2-1-baden-powell-place-mount-eliza-vic-3930-16079935,206 Bourke Street,814.09,125.81
4-15-howe-street-murrumbeena-vic-3163-16079909,Balnarring Village Shopping Centre,2305.46,305.47
806-18-mccombie-st-elsternwick-vic-3185-16073253,206 Bourke Street,2831.11,296.17
14-forbes-grove-oak-park-vic-3046-16079887,206 Bourke Street,6809.57,756.87
12-vine-street-moonee-ponds-vic-3039-16079832,206 Bourke Street,862.17,128.74
1-buckland-court-wodonga-vic-3690-16079819,206 Bourke Street,2226.23,221.33
19-tivoli-road-south-yarra-vic-3141-16079814,Barkly Square,475.15,49.94
109-6-dalgety-street-oakleigh-vic-3166-16079810,206 Bourke Street,1384.43,191.27
24-wertheim-street-richmond-vic-3121-16079802,Barkly Square,2690.64,365.39
1a-clarendon-avenue-wodonga-vic-3690-16079795,206 Bourke Street,3083.92,324.94
612-408-lonsdale-street-melbourne-vic-3000-16079773,Brimbank Central Shopping Centre,306.54,32.39
14-58-62-mary-street-kew-vic-3101-16079756,Acland Court Shopping Centre,3014.35,338.77
6-19-sydney-street-murrumbeena-vic-3163-16079700,206 Bourke Street,1531.69,158.93
203-333-ferrars-street-south-melbourne-vic-3205-16079686,Barkly Square,2247.88,297.57
103-5-7-nepean-highway-elsternwick-vic-3185-16079664,206 Bourke Street,2942.1,319.73
g-04-567-glenferrie-road-hawthorn-vic-3122-16079647,206 Bourke Street,2738.64,239.05
72-oban-street-south-yarra-vic-3141-16079620,Barrabool Hills Plaza,883.23,113.77
8-49-patterson-street-middle-park-vic-3206-16079493,206 Bourke Street,2514.49,300.61
701-57-bay-street-port-melbourne-vic-3207-16079490,Balnarring Village Shopping Centre,2639.63,371.56
4-132-mitcham-road-donvale-vic-3111-16079428,Acland Court Shopping Centre,2358.77,230.25
310-22-chatham-street-prahran-vic-3181-16079412,Acland Court Shopping Centre,344.82,31.15
11-evans-street-chadstone-vic-3148-16079398,Acland Court Shopping Centre,1189.12,128.84
286a-balcombe-rd-beaumaris-vic-3193-16079394,206 Bourke Street,2424.19,282.48
3-25-barkly-street-mordialloc-vic-3195-16079387,Altona Gate Shopping Centre,941.06,152.58
7a-los-angeles-court-ripponlea-vic-3185-16079275,206 Bourke Street,2086.53,240.86
565-heidelberg-road-alphington-vic-3078-16079269,206 Bourke Street,2746.34,340.91
2-anchor-place-prahran-vic-3181-16079263,Acland Court Shopping Centre,758.04,94.96
3-2a-vautier-street-elwood-vic-3184-16079224,206 Bourke Street,2379.48,253.89
11-binalong-ave-chadstone-vic-3148-16079197,Acland Court Shopping Centre,1583.92,229.58
75a-watts-street-box-hill-north-vic-3129-16079176,206 Bourke Street,1137.49,121.51
616-14-david-street-richmond-vic-3121-16079171,Balnarring Village Shopping Centre,1312.35,172.01
2-vella-court-springvale-south-vic-3172-16079155,206 Bourke Street,3262.95,265.66
6-leslie-street-st-kilda-east-vic-3183-16079147,206 Bourke Street,2184.59,214.57
4-7-vale-street-pascoe-vale-vic-3044-16079115,206 Bourke Street,4905.01,642.77
3-798-warrigal-road-malvern-east-vic-3145-16079041,Acland Court Shopping Centre,809.63,124.46
4-nightingale-street-balaclava-vic-3183-16078992,206 Bourke Street,1286.93,144.45
12-28-the-avenue-windsor-vic-3181-16078988,Altona Gate Shopping Centre,1406.23,118.59
4-2-waxman-parade-brunswick-west-vic-3055-16078957,Altona Gate Shopping Centre,2082.04,239.89
78-hope-street-brunswick-vic-3056-16078953,206 Bourke Street,1977.37,230.75
173-spensley-street-clifton-hill-vic-3068-16078951,Acland Court Shopping Centre,3803.27,420.64
