,rent_address,mall,min_distance,min_duration,postcode,price
0,612-408-lonsdale-street-melbourne-vic-3000-16079773,Brimbank Central Shopping Centre,306.54,32.39,3000,350.0
1,3-27-flinders-lane-melbourne-vic-3000-16072122,Bayside Shopping Centre,607.87,90.86,3000,420.0
2,102-9-bligh-place-melbourne-vic-3000-16071806,Balnarring Village Shopping Centre,692.01,107.14,3000,600.0
3,1112-333-351-exhibition-street-melbourne-vic-3000-16082372,Braybrook Shopping Centre,698.41,115.87,3000,600.0
4,1605-565-flinders-street-melbourne-vic-3000-16080390,Brand Smart Premium Outlet Centre,342.86,59.62,3000,500.0
5,104-300-swanston-street-melbourne-vic-3000-13671355,Birallee Village Shopping Centre,531.64,94.49,3000,550.0
6,911-408-lonsdale-street-melbourne-vic-3000-16084620,Brimbank Central Shopping Centre,306.54,32.39,3000,330.0
7,1715-220-spencer-street-melbourne-vic-3000-16071670,Box Hill Central,60.5,8.14,3000,600.0
8,202a-441-lonsdale-street-melbourne-vic-3000-16090002,Brimbank Central Shopping Centre,541.65,67.55,3000,300.0
9,2108-288-spencer-street-melbourne-vic-3000-15572564,Box Hill Central,524.17,87.88,3000,350.0
10,504-350-la-trobe-street-melbourne-vic-3000-15302782,Belmont Village,518.79,90.9,3000,395.0
11,1007-238-flinders-st-melbourne-vic-3000-16066003,Balnarring Village Shopping Centre,578.63,73.14,3000,320.0
12,1206-118-russell-street-melbourne-vic-3000-16062720,Brandon Park Shopping Centre,240.18,36.87,3000,550.0
13,1505-250-elizabeth-street-melbourne-vic-3000-16078181,Brimbank Central Shopping Centre,81.25,9.22,3000,520.0
14,1901-368-st-kilda-road-melbourne-vic-3000-16073890,Bayside Shopping Centre,2044.18,222.44,3000,1800.0
15,11a-131-lonsdale-sreet-melbourne-vic-3000-16084984,206 Bourke Street,364.76,87.54,3000,350.0
16,1211-260-spencer-street-melbourne-vic-3000-16065974,Box Hill Central,201.72,26.31,3000,700.0
17,2104-38-rose-lane-melbourne-vic-3000-16035456,Box Hill Central,293.93,37.44,3000,550.0
18,217-339-swanston-st-melbourne-vic-3000-16055041,Birallee Village Shopping Centre,319.7,53.06,3000,380.0
19,3108-500-elizabeth-st-melbourne-vic-3000-16055187,Belmont Village,565.23,72.2,3000,410.0
20,918-422-collins-st-melbourne-vic-3000-16084005,Balnarring Village Shopping Centre,522.62,62.71,3000,600.0
