rent_address,stop_name,min_distance,min_duration
27-rocco-avenue-donnybrook-vic-3064-16098102,NULL,NULL,NULL
409-85-market-street-south-melbourne-vic-3205-16092256,Albert Park,1854.51,260.78
51-carrington-road-niddrie-vic-3042-16112270,Lower Maribyrnong River land,2857.15,299.22
103-16-malane-street-bentleigh-east-vic-3165-16098175,Karkarook Park (water authority land),4613.33,525.03
401-408-lonsdale-street-melbourne-vic-3000-16014585,Carlton Court House Historic Reserve,2293.95,269.53
218-71-abinger-street-richmond-vic-3121-16094828,Lower Yarra River land,1323.35,137.84
7-74-south-street-wodonga-vic-3690-16091669,Wodonga Regional Park,1412.47,241.3
49-64-fitzroy-street-st-kilda-vic-3182-16095131,Albert Park,23.96,4.31
18-29-george-street-east-melbourne-vic-3002-16108770,Lower Yarra River land,1924.9,251.91
4-65-paxton-street-malvern-east-vic-3145-16108869,Wattle Park,8192.19,769.23
478-wellington-street-clifton-hill-vic-3068-16105769,Lower Yarra River land,2257.19,309.2
4-30-mitford-street-st-kilda-vic-3182-16099536,St Kilda (Brookes Jetty),1035.57,196.01
15-39-41-wellington-street-st-kilda-vic-3182-16110681,Albert Park,824.76,104.54
158-burnley-street-richmond-vic-3121-13706826,Lower Yarra River land,873.99,124.57
1-296-inkerman-st-st-kilda-east-vic-3183-16106154,Albert Park,2509.08,264.52
5-297-st-kilda-street-brighton-vic-3186-16092184,Middle Brighton Pier and Breakwater,435.76,65.15
21-dover-street-richmond-vic-3121-16103850,Parks Victoria Depot - Barkly Ave Park,2001.76,193.69
16a-plunket-street-brighton-east-vic-3187-16099058,Middle Brighton Pier and Breakwater,4000.69,394.52
17-1-acland-street-st-kilda-vic-3182-16108171,Albert Park,678.06,100.71
2-abeckett-street-prahran-vic-3181-16095838,Albert Reserve,3532.76,334.7
101-1443-dandenong-road-malvern-east-vic-3145-16113756,Karkarook Park (water authority land),5520.54,676.64
6-18-ireland-street-west-melbourne-vic-3003-16093709,Carlton Court House Historic Reserve,3159.73,361.63
1204-33-clarke-street-southbank-vic-3006-16093367,Albert Park,2185.58,300.01
