,rent_address,stop_name,min_distance,min_duration,postcode,price
0,701-101-therry-st-melbourne-vic-3000-16069017,Carlton Court House Historic Reserve,2113.93,235.88,3000,585.0
1,101-108-flinders-street-melbourne-vic-3000-16104629,Princes Warf,2197.72,319.6,3000,650.0
2,33-400-little-collins-street-melbourne-vic-3000-16022489,Carlton Court House Historic Reserve,2750.79,318.74,3000,400.0
3,501-243-franklin-street-melbourne-vic-3000-16098203,Carlton Court House Historic Reserve,2250.19,280.2,3000,475.0
4,232-538-little-lonsdale-street-melbourne-vic-3000-16094294,Carlton Court House Historic Reserve,3039.71,376.9,3000,780.0
5,513-118-franklin-street-melbourne-vic-3000-15397839,Carlton Court House Historic Reserve,1963.17,241.45,3000,450.0
6,623-539-st-kilda-road-melbourne-vic-3000-16110078,Albert Reserve,565.42,91.9,3000,475.0
7,1014-22-24-jane-bell-lane-melbourne-vic-3000-16103081,Carlton Court House Historic Reserve,1609.11,200.47,3000,600.0
8,1003-225-elizabeth-street-melbourne-vic-3000-16111540,Carlton Court House Historic Reserve,2494.24,326.73,3000,575.0
9,312b-399-bourke-street-melbourne-vic-3000-16096996,Carlton Court House Historic Reserve,2745.51,315.97,3000,400.0
10,601-8-exploration-lane-melbourne-vic-3000-16081723,Carlton Court House Historic Reserve,1594.6,207.5,3000,530.0
11,4010-639-lonsdale-street-melbourne-vic-3000-16091026,Carlton Court House Historic Reserve,3172.72,398.29,3000,650.0
12,703-500-flinders-street-melbourne-vic-3000-16102690,Albert Park,2507.65,375.32,3000,220.0
13,1411-250-elizabeth-street-melbourne-vic-3000-16092022,Carlton Court House Historic Reserve,2340.32,275.3,3000,520.0
14,3604-568-collins-street-melbourne-vic-3000-16102990,Albert Park,2854.29,398.55,3000,580.0
15,313-394-collins-street-melbourne-vic-3000-15401052,Albert Park,2748.37,396.86,3000,500.0
16,320-68-la-trobe-street-melbourne-vic-3000-16098385,Carlton Court House Historic Reserve,1566.53,191.45,3000,430.0
17,5707b-639-little-lonsdale-street-melbourne-vic-3000-16111904,Carlton Court House Historic Reserve,3144.16,401.97,3000,570.0
18,401-408-lonsdale-street-melbourne-vic-3000-16014585,Carlton Court House Historic Reserve,2293.95,269.53,3000,410.0
19,2503-7-katherine-place-melbourne-vic-3000-16096811,Albert Park,2333.4,336.56,3000,415.0
20,3006-31-a-beckett-street-melbourne-vic-3000-16104600,Carlton Court House Historic Reserve,2095.43,256.63,3000,450.0
21,1309-199-william-street-melbourne-vic-3000-16093914,Carlton Court House Historic Reserve,2695.45,326.11,3000,520.0
22,1701-620-collins-street-melbourne-vic-3000-16114048,Albert Park,2703.59,380.46,3000,650.0
23,1202-620-collins-street-melbourne-vic-3000-16114058,Albert Park,2703.59,380.46,3000,500.0
24,g06-501-little-collins-street-melbourne-vic-3000-16096996,Albert Park,2725.32,400.41,3000,425.0
25,309-501-little-collins-street-melbourne-vic-3000-16107439,Albert Park,2725.32,400.41,3000,400.0
26,315-118-russell-street-melbourne-vic-3000-16108688,Carlton Court House Historic Reserve,2026.67,253.84,3000,550.0
27,7-562-little-bourke-street-melbourne-vic-3000-16094300,Albert Park,2830.19,399.83,3000,380.0
28,816-101-therry-st-melbourne-vic-3000-16068338,Carlton Court House Historic Reserve,2113.93,235.88,3000,820.0
29,3008-288-spencer-street-melbourne-vic-3000-16097762,Carlton Court House Historic Reserve,3149.05,403.14,3000,410.0
30,29-400-little-collins-street-melbourne-vic-3000-16022489,Carlton Court House Historic Reserve,2750.79,318.74,3000,400.0
31,1713-25-therry-street-melbourne-vic-3000-16097001,Carlton Court House Historic Reserve,1664.08,203.09,3000,500.0
32,1202-31-spring-street-melbourne-vic-3000-16111139,Princes Warf,2382.33,349.42,3000,570.0
33,806-296-victoria-parade-east-melbourne-vic-3002-13799976,Lower Yarra River land,2361.54,293.42,3002,1800.0
34,29-8-wellington-crescent-east-melbourne-vic-3002-16096702,Princes Warf,2683.19,379.89,3002,750.0
35,1-62-simpson-st-east-melbourne-vic-3002-16099921,Lower Yarra River land,1611.48,233.01,3002,395.0
36,unit-101m-201-powlett-street-east-melbourne-vic-3002-16109142,Lower Yarra River land,1686.1,201.6,3002,490.0
37,811v-162-albert-street-east-melbourne-vic-3002-16096094,Lower Yarra River land,1783.3,234.63,3002,600.0
38,p18w-189-powlett-street-east-melbourne-vic-3002-16107539,Lower Yarra River land,1703.35,221.73,3002,495.0
39,23-102-jolimont-road-east-melbourne-vic-3002-16110025,Princes Warf,2878.12,384.23,3002,1300.0
40,18-29-george-street-east-melbourne-vic-3002-16108770,Lower Yarra River land,1924.9,251.91,3002,350.0
41,102-9-dryburgh-street-west-melbourne-vic-3003-15235467,Carlton Court House Historic Reserve,3546.28,400.76,3003,550.0
42,6-18-ireland-street-west-melbourne-vic-3003-16093709,Carlton Court House Historic Reserve,3159.73,361.63,3003,750.0
43,407-386-spencer-street-west-melbourne-vic-3003-16106534,Carlton Court House Historic Reserve,3222.43,384.67,3003,450.0
44,2613-65-dudley-street-west-melbourne-vic-3003-16108153,Carlton Court House Historic Reserve,3110.01,374.75,3003,520.0
45,5-61-stanley-street-west-melbourne-vic-3003-16105408,Carlton Court House Historic Reserve,3052.68,373.28,3003,395.0
46,409-41-dryburgh-street-west-melbourne-vic-3003-16113705,Carlton Court House Historic Reserve,3418.09,376.89,3003,550.0
47,214-15-31-batman-street-west-melbourne-vic-3003-14585741,Carlton Court House Historic Reserve,2928.71,346.54,3003,400.0
48,260-adderley-street-west-melbourne-vic-3003-16103206,Carlton Court House Historic Reserve,3375.83,384.92,3003,950.0
49,1011-77-queens-road-melbourne-vic-3004-16109866,Albert Reserve,985.81,136.03,3004,590.0
50,19-32-queens-road-melbourne-vic-3004-16099040,Albert Reserve,575.77,75.46,3004,525.0
51,906-14-queens-road-melbourne-vic-3004-16104224,Albert Park,669.42,123.56,3004,500.0
52,1310-450-st-kilda-road-melbourne-vic-3004-16099990,Albert Park,667.43,123.28,3004,620.0
53,1402-82-queens-rd-melbourne-vic-3004-16099647,Albert Reserve,1136.57,157.74,3004,520.0
54,32-632-st-kilda-road-melbourne-vic-3004-16091641,Albert Reserve,1193.81,165.98,3004,700.0
55,702-74-queens-road-melbourne-vic-3004-16113717,Albert Reserve,930.13,128.01,3004,530.0
56,507-23-queens-road-melbourne-vic-3004-16098966,Albert Park,947.53,140.16,3004,575.0
57,2902-250-city-road-southbank-vic-3006-16111286,Albert Park,1887.4,311.58,3006,450.0
58,106-8-wells-st-southbank-vic-3006-16110505,Albert Park,1226.76,275.2,3006,1200.0
59,1005-285-city-road-southbank-vic-3006-16111246,Albert Park,2008.43,270.31,3006,450.0
60,3201-245-city-road-southbank-vic-3006-16094069,Albert Park,2123.7,288.63,3006,575.0
61,3104-45-clarke-street-southbank-vic-3006-14397368,Albert Park,1769.42,287.09,3006,590.0
62,56-28-southgate-avenue-southbank-vic-3006-16107621,Princes Warf,1874.83,272.58,3006,550.0
63,1204-33-clarke-street-southbank-vic-3006-16093367,Albert Park,2185.58,300.01,3006,350.0
64,3511-151-city-road-southbank-vic-3006-16094411,Albert Park,1761.87,247.54,3006,530.0
65,2512-70-southbank-boulevard-southbank-vic-3006-16097066,Princes Warf,1817.21,238.38,3006,600.0
66,3-100-coventry-street-southbank-vic-3006-16111756,Albert Park,1067.32,166.36,3006,520.0
67,4008-45-clarke-street-southbank-vic-3006-16098289,Albert Park,1769.42,287.09,3006,650.0
68,808-250-city-road-southbank-vic-3006-16103830,Albert Park,1887.4,311.58,3006,575.0
69,1108-81-south-wharf-drive-docklands-vic-3008-16107733,Westgate Park,3803.95,471.73,3008,520.0
70,312-57-spencer-street-docklands-vic-3008-16108605,Albert Park,2803.27,399.93,3008,600.0
71,808-2-joseph-road-footscray-vic-3011-15874277,Lower Maribyrnong River land,679.18,89.43,3011,390.0
72,6-217-buckley-street-seddon-vic-3011-16104892,Lower Maribyrnong River land,2930.15,389.84,3011,370.0
