rent_address,stop_name,min_distance,min_duration
7-1204-glen-huntly-road-glen-huntly-vic-3163-16064791,NULL,NULL,NULL
153-south-road-brighton-vic-3186-16066514,Sandringham Jetty and Breakwater,3218.73,329.91
g43-347-camberwell-road-camberwell-vic-3124-16066506,Wattle Park,4565.44,416.07
206-2-cedar-street-caulfield-south-vic-3162-15113111,St Kilda (Brookes Jetty),5278.05,511.08
205-85-maling-road-canterbury-vic-3126-16066413,Wattle Park,3585.7,376.19
4-13-elizabeth-street-oakleigh-east-vic-3166-16066381,Karkarook Park (water authority land),6901.18,728.72
3-14-mccoll-court-brunswick-west-vic-3055-16066377,Lower Maribyrnong River land,5964.85,644.85
54-marriage-road-brighton-east-vic-3187-16066345,Middle Brighton Pier and Breakwater,4039.52,392.95
35-hoffman-cr-truganina-vic-3029-16066267,Truganina South Nature Conservation Reserve,4598.98,406.72
g05-523-dandenong-road-armadale-vic-3143-15178199,Albert Park,4759.9,454.12
11b-olive-st-hampton-vic-3188-16066090,Sandringham Jetty and Breakwater,4041.86,383.61
27-anzac-crescent-williamstown-vic-3016-16066020,Jawbone Marine Sanctuary,1976.04,286.57
1007-238-flinders-st-melbourne-vic-3000-16066003,Albert Park,2815.74,404.4
207-770b-toorak-road-glen-iris-vic-3146-16065999,Herring Island,5011.78,439.5
2-187-bank-street-south-melbourne-vic-3205-16065978,Albert Park,1221.49,184.58
1211-260-spencer-street-melbourne-vic-3000-16065974,Carlton Court House Historic Reserve,3105.75,378.33
603-spencer-street-west-melbourne-vic-3003-16065963,Carlton Court House Historic Reserve,3088.04,356.47
2-9-rennie-street-thornbury-vic-3071-16065901,Yarra Bend Park,5876.81,486.07
6-fordham-court-richmond-vic-3121-16065885,Lower Yarra River land,2239.54,224.14
1-3-colville-court-herne-hill-vic-3218-16065828,Geelong Telegraph Station Historic Reserve,4349.39,488.57
2-burramine-road-glen-waverley-vic-3150-16065822,Dandenong Valley Parklands (COM),2384.65,373.1
1-11-churchill-street-doncaster-east-vic-3109-15856463,Mullum Mullum Park,4757.88,543.66
4-9-marlton-crescent-st-kilda-vic-3182-16065793,Albert Park,1309.17,184.43
23-frank-street-eltham-vic-3095-16065746,Pauline Toner Butterfly Nature Conservation Reserve,2047.89,249.9
16-lilian-parade-ringwood-vic-3134-16065729,Mullum Mullum Park,4710.39,497.21
65-francis-street-yarraville-vic-3013-16065715,"Williamstown Workshop, Piers & Stony Creek Backwash",1161.94,112.93
222-burwood-highway-burwood-vic-3125-16065529,Wattle Park,2922.38,351.68
104-139-york-street-prahran-vic-3181-16065475,Albert Reserve,2526.41,251.26
316-330-lygon-street-brunswick-east-vic-3057-15187572,Carlton Court House Historic Reserve,3459.48,334.05
504-350-la-trobe-street-melbourne-vic-3000-15302782,Carlton Court House Historic Reserve,2344.71,289.78
2-16-lyon-street-essendon-vic-3040-16065350,Lower Maribyrnong River land,2126.13,223.41
g10-43-45-the-avenue-balaclava-vic-3183-16065263,St Kilda (Brookes Jetty),3072.06,386.07
2-20-lyndhurst-crescent-brunswick-east-vic-3057-16065203,Carlton Court House Historic Reserve,4748.11,475.78
502-283-high-street-prahran-vic-3181-16065163,Albert Reserve,2450.9,285.88
23-clyde-street-thornbury-vic-3071-16065124,Yarra Bend Park,3778.18,354.78
201-323-dandenong-road-prahran-vic-3181-16065119,Albert Park,3587.85,371.95
5-20-kooyong-rd-caulfield-north-vic-3161-16065046,Albert Park,4009.21,391.5
3-8-10-james-avenue-kew-vic-3101-16064942,Yarra Bend Park,2020.16,316.73
13-40-lillimur-road-ormond-vic-3204-16064832,Karkarook Park (water authority land),7947.74,755.39
6-10-lalbert-crescent-prahran-vic-3181-16064800,Albert Park,3967.92,406.27
18-kingsley-st-elwood-vic-3184-16064797,Middle Brighton Pier and Breakwater,2465.31,291.81
121-lord-street-richmond-vic-3121-16064776,Lower Yarra River land,1750.68,196.64
8-4-mccracken-avenue-northcote-vic-3070-16064578,Yarra Bend Park,3822.67,402.58
