rent_address,school_name,min_distance,min_duration
148-bay-street-brighton-vic-3186-16111243,Avenel Primary School,329.46,66.96
2-103-waverley-road-chadstone-vic-3148-16098229,Alberton Primary School,125.4,13.93
2512-70-southbank-boulevard-southbank-vic-3006-16097066,Alberton Primary School,1007.57,151.6
316b-south-road-hampton-east-vic-3188-16101248,Allansford and District Primary School,899.06,215.77
1-43-barkly-street-carlton-vic-3053-16114029,Allansford and District Primary School,523.58,76.3
6-75-westbury-street-st-kilda-east-vic-3183-16104087,Avoca Primary School,552.83,47.28
106-471-malvern-road-south-yarra-vic-3141-16099095,Avenel Primary School,1050.48,127.89
1-kadir-street-bentleigh-east-vic-3165-16110561,Alberton Primary School,782.67,97.66
3-1-coane-street-oakleigh-east-vic-3166-16110864,Alberton Primary School,1420.43,175.19
10-5-wilson-street-murrumbeena-vic-3163-16104133,Alberton Primary School,640.46,123.8
10-1231-malvern-road-malvern-vic-3144-16097026,Alberton Primary School,492.42,109.91
1-125-henty-street-reservoir-vic-3073-16113414,Alberton Primary School,740.12,114.96
2-grace-court-kew-vic-3101-16095943,Allansford and District Primary School,1324.91,134.89
118-normanby-avenue-thornbury-vic-3071-16109205,Avoca Primary School,786.97,104.57
2-31-howitt-street-south-yarra-vic-3141-16109026,Avoca Primary School,1175.59,161.54
62a-union-street-windsor-vic-3181-16096060,Avenel Primary School,690.68,103.73
2-55-avoca-street-south-yarra-vic-3141-16103349,Avenel Primary School,671.7,104.2
207-6-mater-street-collingwood-vic-3066-16091253,Belmont Primary School,865.67,147.39
503-147-beach-street-port-melbourne-vic-3207-16113115,Alberton Primary School,1285.29,201.79
3-1a-wimba-avenue-kew-vic-3101-16100819,Alberton Primary School,619.52,59.55
6-44-type-street-richmond-vic-3121-16099000,Belmont Primary School,765.49,107.79
p18w-189-powlett-street-east-melbourne-vic-3002-16107539,Avoca Primary School,593.84,87.81
311-39-park-street-south-melbourne-vic-3205-16109887,Avoca Primary School,758.24,135.52
3-20-24-dublin-road-ringwood-east-vic-3135-16112504,Avoca Primary School,2135.77,273.04
3-291-rathmines-street-thornbury-vic-3071-16091151,Belmont Primary School,522.05,90.56
4-odessa-street-st-kilda-vic-3182-16094649,Bacchus Marsh Primary School,421.07,42.97
205-6-8-wellington-road-box-hill-vic-3128-16110292,Alberton Primary School,1295.97,219.6
6-berrima-street-oakleigh-east-vic-3166-15137796,Castlemaine Primary School,1781.7,170.44
1-62-simpson-st-east-melbourne-vic-3002-16099921,Allansford and District Primary School,975.38,146.21
906-14-queens-road-melbourne-vic-3004-16104224,Alberton Primary School,504.78,82.36
8-victoria-road-northcote-vic-3070-16093432,Allansford and District Primary School,1103.89,171.43
703-500-flinders-street-melbourne-vic-3000-16102690,Avenel Primary School,835.65,103.36
310-380-bay-street-brighton-vic-3186-16097678,Avenel Primary School,878.49,131.79
1-40-glenbrook-avenue-clayton-vic-3168-16110445,Alberton Primary School,1014.62,132.01
