rent_address,school_name,min_distance,min_duration
38-park-crescent-caulfield-north-vic-3161-16084584,Cudgee Primary School,345.77,52.17
2-kurrajong-avenue-st-kilda-east-vic-3183-16084549,Hamilton (Gray Street) Primary School,839.21,86.64
349-fitzroy-street-fitzroy-vic-3065-16084496,Alberton Primary School,557.74,105.5
2-24-o-connor-street-reservoir-vic-3073-16084487,Warrandyte Primary School,253.68,60.88
1102-32-bray-street-south-yarra-vic-3141-16084480,Cudgee Primary School,911.93,90.44
1203-77-river-street-south-yarra-vic-3141-16084470,Wandiligong Primary School,81.54,13.59
78-hawke-street-west-melbourne-vic-3003-16084403,Dromana Primary School,1067.02,139.27
6-566-glenferrie-road-hawthorn-vic-3122-16084160,Castlemaine Primary School,71.33,5.14
1-48-pearl-drive-craigieburn-vic-3064-16084074,Ballarat Primary School (Dana Street),1019.81,143.16
1003-8-joseph-road-footscray-vic-3011-16084073,Campbells Creek Primary School,568.21,77.66
2-116-jasper-road-bentleigh-vic-3204-16084051,Echuca Primary School,71.42,5.14
918-422-collins-st-melbourne-vic-3000-16084005,Highton Primary School,773.98,93.67
104-somerset-street-richmond-vic-3121-16083987,Cheltenham Primary School,394.06,78.62
12-30-james-street-windsor-vic-3181-16083970,Avoca Primary School,355.83,59.21
105-333-ascot-vale-rd-moonee-ponds-vic-3039-16083963,Avenel Primary School,890.93,126.15
1-6-turner-road-highett-vic-3190-16083938,Creswick Primary School,1766.89,218.61
1-6-rattray-avenue-wodonga-vic-3690-16083917,Belmont Primary School,1035.93,170.21
3-492-plenty-road-preston-vic-3072-16083908,California Gully Primary School,844.95,101.64
13-brenda-court-nunawading-vic-3131-16083837,Bacchus Marsh Primary School,826.04,104.09
30-80-enterprise-dr-bundoora-vic-3083-16083831,Cudgee Primary School,1707.39,212.93
