,rent_address,school_name,min_distance,min_duration,postcode,price
0,1112-333-351-exhibition-street-melbourne-vic-3000-16082372,Wandiligong Primary School,684.39,101.74,3000,600.0
1,3-27-flinders-lane-melbourne-vic-3000-16072122,Hawthorn West Primary School,576.04,83.88,3000,420.0
2,102-9-bligh-place-melbourne-vic-3000-16071806,Huntly Primary School,943.37,138.09,3000,600.0
3,504-350-la-trobe-street-melbourne-vic-3000-15302782,Heidelberg Primary School,601.61,100.8,3000,395.0
4,4-180-little-collins-street-melbourne-vic-3000-16080818,Grovedale Primary School,563.53,86.12,3000,500.0
5,911-408-lonsdale-street-melbourne-vic-3000-16084620,Kyneton Primary School,803.16,97.51,3000,330.0
6,202a-441-lonsdale-street-melbourne-vic-3000-16090002,Kyneton Primary School,663.88,93.05,3000,300.0
8,1211-260-spencer-street-melbourne-vic-3000-16065974,Flemington Primary School,587.48,83.94,3000,700.0
9,1605-565-flinders-street-melbourne-vic-3000-16080390,Highton Primary School,1215.01,163.91,3000,500.0
10,1007-238-flinders-st-melbourne-vic-3000-16066003,Bellbrae Primary School,1293.22,155.69,3000,320.0
11,57-243-collins-street-melbourne-vic-3000-16089287,Bellbrae Primary School,1085.74,129.92,3000,400.0
12,3108-500-elizabeth-st-melbourne-vic-3000-16055187,Kyneton Primary School,805.19,91.54,3000,410.0
13,2311-601-little-lonsdale-street-melbourne-vic-3000-16089250,Flemington Primary School,268.75,50.78,3000,625.0
15,1206-118-russell-street-melbourne-vic-3000-16062720,Grovedale Primary School,437.87,68.33,3000,550.0
16,1505-250-elizabeth-street-melbourne-vic-3000-16078181,Kyneton Primary School,866.52,101.11,3000,520.0
17,612-408-lonsdale-street-melbourne-vic-3000-16079773,Kyneton Primary School,803.16,97.51,3000,350.0
18,unit-1713-200-spencer-st-melbourne-vic-3000-16069309,Grovedale Primary School,777.07,107.94,3000,440.0
19,55-1-albert-road-melbourne-vic-3000-16054304,Colac Primary School,692.34,121.92,3000,950.0
21,104-300-swanston-street-melbourne-vic-3000-13671355,Wandiligong Primary School,738.7,122.97,3000,550.0
