rent_address,stop_name,min_distance,min_duration
608-627-victoria-street-abbotsford-vic-3067-16112055,Southern Cross Railway Station (Melbourne City),6684.22,800.94
17-352-victoria-street-north-melbourne-vic-3051-16112376,Southern Cross Railway Station (Melbourne City),2329.1,303.26
78-allison-road-elsternwick-vic-3185-16092486,Southern Cross Railway Station (Melbourne City),11252.76,1051.02
9a-9b-ludwell-crescent-bentleigh-east-vic-3165-16092784,Southern Cross Railway Station (Melbourne City),21189.56,1847.86
75-neptune-street-richmond-vic-3121-16110194,Southern Cross Railway Station (Melbourne City),6372.18,759.71
4-17-colac-gr-belmont-vic-3216-15755710,Marshall Railway Station (Marshall),4249.31,414.47
3-54-hill-street-bentleigh-east-vic-3165-16091798,Southern Cross Railway Station (Melbourne City),19647.54,1663.76
3511-151-city-road-southbank-vic-3006-16094411,Southern Cross Railway Station (Melbourne City),2015.66,278.72
3-4-spencer-road-camberwell-vic-3124-16091161,Southern Cross Railway Station (Melbourne City),13188.83,1260.14
4-8-10-lincoln-road-essendon-vic-3040-16098657,Southern Cross Railway Station (Melbourne City),9980.81,935.17
g03-1271-1273-high-street-malvern-vic-3144-16109656,Southern Cross Railway Station (Melbourne City),12399.48,1118.06
307-55-cumberland-drive-maribyrnong-vic-3032-16107543,Southern Cross Railway Station (Melbourne City),7897.96,845.69
202-39-studley-park-rd-kew-vic-3101-16110655,Southern Cross Railway Station (Melbourne City),8528.87,957.19
3-1-frederick-street-caulfield-south-vic-3162-16106461,Southern Cross Railway Station (Melbourne City),15566.5,1317.27
12-kennealy-st-surrey-hills-vic-3127-16112779,Southern Cross Railway Station (Melbourne City),15501.15,1466.22
238a-were-street-brighton-east-vic-3187-16110215,Southern Cross Railway Station (Melbourne City),17570.51,1597.26
4-22-crimea-street-st-kilda-vic-3182-15808911,Southern Cross Railway Station (Melbourne City),7359.3,752.63
5-48-farnham-street-flemington-vic-3031-16103716,Southern Cross Railway Station (Melbourne City),5721.64,572.05
913-1-ascot-vale-road-flemington-vic-3031-14811213,Southern Cross Railway Station (Melbourne City),5902.01,560.02
1-45-neville-st-bentleigh-east-vic-3165-16095004,Southern Cross Railway Station (Melbourne City),19542.19,1685.12
30-233-235-canterbury-road-st-kilda-west-vic-3182-16108250,Southern Cross Railway Station (Melbourne City),5894.54,552.64
1605-6-joseph-road-footscray-vic-3011-16109994,Southern Cross Railway Station (Melbourne City),5010.27,528.22
2-9-oak-grove-ripponlea-vic-3185-16100046,Southern Cross Railway Station (Melbourne City),9013.62,922.6
29-8-wellington-crescent-east-melbourne-vic-3002-16096702,Southern Cross Railway Station (Melbourne City),3534.96,436.79
6-18-bute-st-murrumbeena-vic-3163-16112065,Southern Cross Railway Station (Melbourne City),16591.04,1497.93
2b-waterloo-crescent-st-kilda-vic-3182-16103682,Southern Cross Railway Station (Melbourne City),6988.62,675.52
10-21-university-street-carlton-vic-3053-10308643,Southern Cross Railway Station (Melbourne City),4081.41,483.93
108-67-77-hawthorn-road-caulfield-north-vic-3161-16113540,Southern Cross Railway Station (Melbourne City),10923.63,981.09
2-1-manatunga-street-clayton-vic-3168-16099845,Southern Cross Railway Station (Melbourne City),24309.27,1707.44
67-clarke-street-northcote-vic-3070-16092703,Southern Cross Railway Station (Melbourne City),8020.24,795.83
804-1-olive-york-way-brunswick-west-vic-3055-15357145,Southern Cross Railway Station (Melbourne City),9736.71,816.38
10-arnold-place-wodonga-vic-3690-16109206,Wodonga Railway Station (Wodonga),4315.05,551.48
8-18-mercer-road-armadale-vic-3143-16098674,Southern Cross Railway Station (Melbourne City),11497.54,1075.86
2-9-virginia-street-springvale-vic-3171-16103573,Southern Cross Railway Station (Melbourne City),29279.97,2145.47
43-bent-st-caulfield-south-vic-3162-16093981,Southern Cross Railway Station (Melbourne City),14069.28,1224.08
107-7-9-cowra-street-brighton-vic-3186-16103475,Southern Cross Railway Station (Melbourne City),12712.71,1321.4
7-connell-street-hawthorn-vic-3122-16112571,Southern Cross Railway Station (Melbourne City),7664.52,899.07
