,rent_address,stop_name,min_distance,min_duration,postcode,price
0,703-500-flinders-street-melbourne-vic-3000-16102690,Southern Cross Railway Station (Melbourne City),1606.97,203.0,3000,220.0
1,313-394-collins-street-melbourne-vic-3000-15401052,Southern Cross Railway Station (Melbourne City),1828.25,211.47,3000,500.0
2,401-408-lonsdale-street-melbourne-vic-3000-16014585,Southern Cross Railway Station (Melbourne City),2347.06,262.68,3000,410.0
3,3006-31-a-beckett-street-melbourne-vic-3000-16104600,Southern Cross Railway Station (Melbourne City),2706.79,326.19,3000,450.0
4,g06-501-little-collins-street-melbourne-vic-3000-16096996,Southern Cross Railway Station (Melbourne City),1587.22,196.28,3000,425.0
5,4010-639-lonsdale-street-melbourne-vic-3000-16091026,Southern Cross Railway Station (Melbourne City),1618.23,177.06,3000,650.0
6,623-539-st-kilda-road-melbourne-vic-3000-16110078,Southern Cross Railway Station (Melbourne City),5132.56,624.18,3000,475.0
7,501-243-franklin-street-melbourne-vic-3000-16098203,Southern Cross Railway Station (Melbourne City),2359.44,276.82,3000,475.0
8,1202-31-spring-street-melbourne-vic-3000-16111139,Southern Cross Railway Station (Melbourne City),2986.87,371.97,3000,570.0
9,1411-250-elizabeth-street-melbourne-vic-3000-16092022,Southern Cross Railway Station (Melbourne City),2410.42,266.29,3000,520.0
10,1202-620-collins-street-melbourne-vic-3000-16114058,Southern Cross Railway Station (Melbourne City),1112.44,119.68,3000,500.0
11,312b-399-bourke-street-melbourne-vic-3000-16096996,Southern Cross Railway Station (Melbourne City),2112.04,235.6,3000,400.0
12,1014-22-24-jane-bell-lane-melbourne-vic-3000-16103081,Southern Cross Railway Station (Melbourne City),3099.31,356.38,3000,600.0
13,3604-568-collins-street-melbourne-vic-3000-16102990,Southern Cross Railway Station (Melbourne City),1263.14,137.77,3000,580.0
14,320-68-la-trobe-street-melbourne-vic-3000-16098385,Southern Cross Railway Station (Melbourne City),3566.98,415.27,3000,430.0
15,309-501-little-collins-street-melbourne-vic-3000-16107439,Southern Cross Railway Station (Melbourne City),1587.22,196.28,3000,400.0
