rent_address,stop_name,min_distance,min_duration
18-37-39-carroll-crescent-glen-iris-vic-3146-16088255,Southern Cross Railway Station (Melbourne City),12284.35,1074.93
818-sydney-rd-coburg-north-vic-3058-16088235,Southern Cross Railway Station (Melbourne City),13655.43,1177.03
68-yarra-boulevard-richmond-vic-3121-12659355,Southern Cross Railway Station (Melbourne City),6967.2,788.4
34-stott-street-box-hill-south-vic-3128-13133669,Southern Cross Railway Station (Melbourne City),17546.11,1672.84
87-canning-street-carlton-vic-3053-12678308,Southern Cross Railway Station (Melbourne City),4791.51,560.46
25-10-tennyson-street-st-kilda-vic-3182-16088206,Southern Cross Railway Station (Melbourne City),7778.6,796.91
106-34-princeton-terrace-bundoora-vic-3083-16088123,Southern Cross Railway Station (Melbourne City),23083.42,2033.98
505-139-bouverie-street-carlton-vic-3053-14377358,Southern Cross Railway Station (Melbourne City),3054.41,403.17
10-24-rose-street-box-hill-vic-3128-16088120,Southern Cross Railway Station (Melbourne City),22785.33,1667.71
14-193-brighton-road-elwood-vic-3184-16088112,Southern Cross Railway Station (Melbourne City),8787.53,855.93
4c-21-the-esplanade-st-kilda-vic-3182-16088109,Southern Cross Railway Station (Melbourne City),7082.45,703.28
9-744-orrong-road-toorak-vic-3142-15923220,Southern Cross Railway Station (Melbourne City),8840.65,800.64
11-51-53-grange-road-toorak-vic-3142-16088102,Southern Cross Railway Station (Melbourne City),8440.19,761.04
2-12-brennand-street-fitzroy-north-vic-3068-14628144,Southern Cross Railway Station (Melbourne City),8113.73,880.36
108-3-11-hoddle-street-collingwood-vic-3066-16088068,Southern Cross Railway Station (Melbourne City),5372.21,638.78
605-369-high-street-kew-vic-3101-16088032,Southern Cross Railway Station (Melbourne City),9627.08,1074.2
401-high-street-prahran-vic-3181-16088024,Southern Cross Railway Station (Melbourne City),8157.78,882.28
38-highett-street-richmond-vic-3121-16087992,Southern Cross Railway Station (Melbourne City),5102.25,637.16
10-illawara-drive-mickleham-vic-3064-16087933,Donnybrook Railway Station (Donnybrook),7782.34,733.5
3-133-glenlyon-road-brunswick-vic-3056-16087910,Southern Cross Railway Station (Melbourne City),7045.15,751.25
24-whites-rd-mount-duneed-vic-3217-16087894,Marshall Railway Station (Marshall),5859.95,531.97
97-collier-crescent-brunswick-west-vic-3055-16087893,Southern Cross Railway Station (Melbourne City),7145.54,698.82
13-25-royal-avenue-glen-huntly-vic-3163-16087887,Southern Cross Railway Station (Melbourne City),14716.25,1267.98
5-1a-lansdowne-road-st-kilda-east-vic-3183-16086953,Southern Cross Railway Station (Melbourne City),9193.19,904.43
4-82-trenerry-crescent-abbotsford-vic-3067-16057111,Southern Cross Railway Station (Melbourne City),6956.97,800.55
27-hawthorn-road-northcote-vic-3070-16051293,Southern Cross Railway Station (Melbourne City),8655.18,858.57
6-65-clarence-street-elsternwick-vic-3185-16039179,Southern Cross Railway Station (Melbourne City),12657.15,1100.23
r-1134-dandenong-road-carnegie-vic-3163-16038868,Southern Cross Railway Station (Melbourne City),14734.46,1320.11
557-swanston-street-carlton-vic-3053-16010438,Southern Cross Railway Station (Melbourne City),3054.02,374.66
1-42a-hawthorn-grove-hawthorn-vic-3122-16057366,Southern Cross Railway Station (Melbourne City),8883.06,1016.85
405-442-st-kilda-road-melbourne-vic-3004-16057221,Southern Cross Railway Station (Melbourne City),4295.9,546.35
76-manooka-road-brookfield-vic-3338-16056949,Melton Railway Station (Melton South),3672.74,383.43
10-mercer-way-armadale-vic-3143-16056859,Southern Cross Railway Station (Melbourne City),11885.21,1079.93
49-highbury-grove-prahran-vic-3181-16056833,Southern Cross Railway Station (Melbourne City),8782.99,934.53
4-4-essex-street-pascoe-vale-vic-3044-16056699,Southern Cross Railway Station (Melbourne City),12618.25,1065.27
2-361-st-kilda-st-brighton-vic-3186-16056674,Southern Cross Railway Station (Melbourne City),11352.6,1159.1
38-262-heidelberg-road-fairfield-vic-3078-16056607,Southern Cross Railway Station (Melbourne City),8503.71,1013.34
38-argo-street-south-yarra-vic-3141-16056584,Southern Cross Railway Station (Melbourne City),5878.59,703.08
703-75-wellington-st-collingwood-vic-3066-16054467,Southern Cross Railway Station (Melbourne City),4676.15,559.74
318-181-fitzroy-street-st-kilda-vic-3182-16056356,Southern Cross Railway Station (Melbourne City),6425.99,618.88
609-2-joseph-road-footscray-vic-3011-15372330,Southern Cross Railway Station (Melbourne City),4892.63,514.1
915-528-swanston-street-carlton-vic-3053-16056312,Southern Cross Railway Station (Melbourne City),3089.77,380.04
1-27-eildon-road-st-kilda-vic-3182-16056185,Southern Cross Railway Station (Melbourne City),6378.8,628.96
