,rent_address,school_name,min_distance,min_duration,postcode,price
0,612-408-lonsdale-street-melbourne-vic-3000-16079773,Kyneton Primary School,803.16,97.51,3000,350.0
1,3510-442-elizabeth-st-melbourne-vic-3000-16076491,Romsey Primary School,725.97,85.92,3000,680.0
2,1211-260-spencer-street-melbourne-vic-3000-16065974,Flemington Primary School,587.48,83.94,3000,700.0
3,9-15-rankins-lane-melbourne-vic-3000-16076773,Chiltern Primary School,783.18,112.83,3000,900.0
4,3002-288-spencer-st-melbourne-vic-3000-16081949,Flemington Primary School,414.76,85.82,3000,510.0
5,2205-22-24-jane-bell-lane-melbourne-vic-3000-16076879,Wandiligong Primary School,585.41,86.18,3000,550.0
6,711-422-collins-street-melbourne-vic-3000-16087505,Highton Primary School,773.98,93.67,3000,400.0
7,911-408-lonsdale-street-melbourne-vic-3000-16084620,Kyneton Primary School,803.16,97.51,3000,330.0
8,504-350-la-trobe-street-melbourne-vic-3000-15302782,Heidelberg Primary School,601.61,100.8,3000,395.0
9,1715-220-spencer-street-melbourne-vic-3000-16071670,Flemington Primary School,717.34,104.58,3000,600.0
10,2108-288-spencer-street-melbourne-vic-3000-15572564,Flemington Primary School,414.76,85.82,3000,350.0
11,1211-200-spencer-street-melbourne-vic-3000-16073870,Grovedale Primary School,777.07,107.94,3000,480.0
12,1411-120-a-beckett-st-melbourne-vic-3000-16062428,Hamilton (Gray Street) Primary School,779.59,108.64,3000,680.0
13,104-300-swanston-street-melbourne-vic-3000-13671355,Wandiligong Primary School,738.7,122.97,3000,550.0
14,202a-441-lonsdale-street-melbourne-vic-3000-16090002,Kyneton Primary School,663.88,93.05,3000,300.0
15,217-339-swanston-st-melbourne-vic-3000-16055041,Hawthorn West Primary School,856.7,122.51,3000,380.0
16,3108-500-elizabeth-st-melbourne-vic-3000-16055187,Kyneton Primary School,805.19,91.54,3000,410.0
17,102-9-bligh-place-melbourne-vic-3000-16071806,Huntly Primary School,943.37,138.09,3000,600.0
18,1605-565-flinders-street-melbourne-vic-3000-16080390,Highton Primary School,1215.01,163.91,3000,500.0
19,1112-333-351-exhibition-street-melbourne-vic-3000-16082372,Wandiligong Primary School,684.39,101.74,3000,600.0
20,unit-1713-200-spencer-st-melbourne-vic-3000-16069309,Grovedale Primary School,777.07,107.94,3000,440.0
21,502-118-russell-street-melbourne-vic-3000-16090549,Grovedale Primary School,437.87,68.33,3000,620.0
22,1505-250-elizabeth-street-melbourne-vic-3000-16078181,Kyneton Primary School,866.52,101.11,3000,520.0
23,918-422-collins-st-melbourne-vic-3000-16084005,Highton Primary School,773.98,93.67,3000,600.0
24,1901-368-st-kilda-road-melbourne-vic-3000-16073890,Colac Primary School,1358.0,194.95,3000,1800.0
25,4-180-little-collins-street-melbourne-vic-3000-16080818,Grovedale Primary School,563.53,86.12,3000,500.0
26,11a-131-lonsdale-sreet-melbourne-vic-3000-16084984,Wandiligong Primary School,581.62,96.74,3000,350.0
27,55-1-albert-road-melbourne-vic-3000-16054304,Colac Primary School,692.34,121.92,3000,950.0
28,2201-288-spencer-street-melbourne-vic-3000-15831027,Flemington Primary School,414.76,85.82,3000,400.0
29,2311-601-little-lonsdale-street-melbourne-vic-3000-16089250,Flemington Primary School,268.75,50.78,3000,625.0
30,101-25-33-wills-street-melbourne-vic-3000-14868152,Hawthorn West Primary School,673.46,104.39,3000,400.0
31,2905b-11-rose-lane-melbourne-vic-3000-16074279,Flemington Primary School,797.74,128.92,3000,575.0
32,2104-38-rose-lane-melbourne-vic-3000-16035456,Footscray Primary School,422.08,62.18,3000,550.0
33,602-118-franklin-street-melbourne-vic-3000-16082578,Bellbrae Primary School,828.84,98.91,3000,330.0
34,1007-238-flinders-st-melbourne-vic-3000-16066003,Bellbrae Primary School,1293.22,155.69,3000,320.0
35,1206-118-russell-street-melbourne-vic-3000-16062720,Grovedale Primary School,437.87,68.33,3000,550.0
36,3-27-flinders-lane-melbourne-vic-3000-16072122,Hawthorn West Primary School,576.04,83.88,3000,420.0
37,57-243-collins-street-melbourne-vic-3000-16089287,Bellbrae Primary School,1085.74,129.92,3000,400.0
38,2004-288-spencer-street-melbourne-vic-3000-16076141,Flemington Primary School,414.76,85.82,3000,360.0
39,203-33-cliveden-close-east-melbourne-vic-3002-16087803,Grovedale Primary School,1061.73,158.01,3002,380.0
40,12-174-george-street-east-melbourne-vic-3002-14217723,Warrnambool West Primary School,1112.79,144.02,3002,495.0
41,38-400-victoria-parade-east-melbourne-vic-3002-12863768,Warrnambool West Primary School,370.06,52.63,3002,770.0
42,po9p-191-powlett-street-east-melbourne-vic-3002-16088441,St Andrews Primary School,560.21,79.74,3002,675.0
43,1306v-296-victoria-parade-east-melbourne-vic-3002-16067034,Dromana Primary School,775.67,118.84,3002,750.0
44,12-vale-street-east-melbourne-vic-3002-16070321,Heidelberg Primary School,809.24,136.68,3002,1150.0
45,unit-13p-189-powlett-st-east-melbourne-vic-3002-16078040,California Gully Primary School,593.84,87.81,3002,600.0
46,8-108-george-street-east-melbourne-vic-3002-16049735,Grovedale Primary School,1027.14,145.33,3002,450.0
47,104-150-clarendon-street-east-melbourne-vic-3002-16076278,Dromana Primary School,635.23,91.48,3002,950.0
48,7-126-wellington-parade-east-melbourne-vic-3002-16061003,Grovedale Primary School,942.59,139.86,3002,1800.0
49,1105-162-albert-street-east-melbourne-vic-3002-16084999,St Andrews Primary School,673.8,100.71,3002,420.0
50,23-2-wellington-crescent-east-melbourne-vic-3002-16080787,Grovedale Primary School,1240.62,178.28,3002,750.0
51,4-23-albert-street-east-melbourne-vic-3002-16083380,Heathcote Primary School,543.1,73.36,3002,475.0
52,13-86-hotham-street-east-melbourne-vic-3002-16065438,Berwick Primary School,936.68,136.61,3002,450.0
53,p08p-191-powlett-street-east-melbourne-vic-3002-16061199,St Andrews Primary School,558.16,79.25,3002,625.0
54,9-322-albert-street-east-melbourne-vic-3002-16087584,Echuca Primary School,671.88,99.34,3002,990.0
55,107k-211-powlett-street-east-melbourne-vic-3002-16085151,St Andrews Primary School,515.41,68.99,3002,550.0
56,201-65-dudley-street-west-melbourne-vic-3003-16076288,Gisborne Primary School,643.08,89.26,3003,420.0
57,78-hawke-street-west-melbourne-vic-3003-16084403,Dromana Primary School,1067.02,139.27,3003,1100.0
58,g02-135-roden-street-west-melbourne-vic-3003-15657129,Dromana Primary School,911.56,126.13,3003,580.0
59,603-spencer-street-west-melbourne-vic-3003-16065963,Dromana Primary School,885.1,119.82,3003,525.0
60,260-adderley-street-west-melbourne-vic-3003-16071421,Dromana Primary School,1172.9,148.27,3003,950.0
61,503-9-dryburgh-street-west-melbourne-vic-3003-16063432,Warrnambool West Primary School,1377.36,186.49,3003,500.0
62,303-250-st-kilda-road-melbourne-vic-3004-16068286,Castlemaine Primary School,784.76,169.58,3004,1395.0
63,405-15-queens-road-melbourne-vic-3004-16074877,Cavendish Primary School,545.4,75.0,3004,550.0
64,309-77-queens-road-melbourne-vic-3004-15339268,Ballarat Primary School (Dana Street),500.32,86.98,3004,430.0
65,902-133-russell-st-melbourne-vic-3004-16078264,Hawthorn West Primary School,378.38,57.73,3004,650.0
66,1312-35-albert-rd-melbourne-vic-3004-16053245,Cavendish Primary School,413.82,78.22,3004,570.0
67,1413-610-st-kilda-rd-melbourne-vic-3004-16090064,Ballarat Primary School (Dana Street),443.79,78.84,3004,425.0
68,104-12-queens-road-melbourne-vic-3004-16055021,Colac Primary School,457.89,78.21,3004,440.0
69,405-442-st-kilda-road-melbourne-vic-3004-16057221,Colac Primary School,586.69,108.8,3004,380.0
70,314-499-st-kilda-road-melbourne-vic-3004-16071284,California Gully Primary School,714.01,63.79,3004,900.0
71,517-74-queens-road-melbourne-vic-3004-16040056,Ballarat Primary School (Dana Street),444.64,78.96,3004,450.0
72,113-350-st-kilda-road-melbourne-vic-3004-16063679,Colac Primary School,1323.18,196.61,3004,1500.0
73,1507-12-queens-rd-melbourne-vic-3004-16081919,Colac Primary School,457.89,78.21,3004,700.0
74,19-73-queens-road-melbourne-vic-3004-16052308,Ballarat Primary School (Dana Street),410.68,74.07,3004,580.0
75,1701a-60-dorcas-street-southbank-vic-3006-16053477,Cavendish Primary School,738.57,135.53,3006,400.0
76,1510-1-freshwater-place-southbank-vic-3006-16089972,Campbells Creek Primary School,1135.5,182.94,3006,640.0
