,index,rent_address,stop_name,min_distance,min_duration,postcode
0,647,1206-118-russell-street-melbourne-vic-3000-16062720,Melton Railway Station (Melton South),2618.15,319.7,3000
1,1012,711-422-collins-street-melbourne-vic-3000-16087505,Melton Railway Station (Melton South),1904.53,219.89,3000
2,419,101-25-33-wills-street-melbourne-vic-3000-14868152,Melton Railway Station (Melton South),2353.8,286.39,3000
3,68,911-408-lonsdale-street-melbourne-vic-3000-16084620,Melton Railway Station (Melton South),2347.06,262.68,3000
4,1139,202a-441-lonsdale-street-melbourne-vic-3000-16090002,Melton Railway Station (Melton South),2207.78,258.22,3000
5,262,2108-288-spencer-street-melbourne-vic-3000-15572564,Melton Railway Station (Melton South),1923.12,236.46,3000
6,420,2905b-11-rose-lane-melbourne-vic-3000-16074279,Melton Railway Station (Melton South),1539.84,181.05,3000
7,121,602-118-franklin-street-melbourne-vic-3000-16082578,Melton Railway Station (Melton South),2791.46,335.95,3000
8,127,1112-333-351-exhibition-street-melbourne-vic-3000-16082372,Melton Railway Station (Melton South),3570.57,414.98,3000
9,143,3002-288-spencer-st-melbourne-vic-3000-16081949,Melton Railway Station (Melton South),1923.12,236.46,3000
10,432,1901-368-st-kilda-road-melbourne-vic-3000-16073890,Melton Railway Station (Melton South),4088.07,442.42,3000
11,883,504-350-la-trobe-street-melbourne-vic-3000-15302782,Melton Railway Station (Melton South),2281.96,282.8,3000
12,1118,502-118-russell-street-melbourne-vic-3000-16090549,Melton Railway Station (Melton South),2618.15,319.7,3000
13,214,1605-565-flinders-street-melbourne-vic-3000-16080390,Melton Railway Station (Melton South),973.35,146.94,3000
14,233,612-408-lonsdale-street-melbourne-vic-3000-16079773,Melton Railway Station (Melton South),2347.06,262.68,3000
15,826,unit-1713-200-spencer-st-melbourne-vic-3000-16069309,Melton Railway Station (Melton South),1397.94,150.39,3000
16,56,11a-131-lonsdale-sreet-melbourne-vic-3000-16084984,Melton Railway Station (Melton South),3201.5,378.98,3000
17,872,1211-260-spencer-street-melbourne-vic-3000-16065974,Melton Railway Station (Melton South),1600.66,174.89,3000
18,1270,217-339-swanston-st-melbourne-vic-3000-16055041,Melton Railway Station (Melton South),2893.41,340.08,3000
19,434,1211-200-spencer-street-melbourne-vic-3000-16073870,Melton Railway Station (Melton South),1397.94,150.39,3000
20,809,1715-220-spencer-street-melbourne-vic-3000-16071670,Melton Railway Station (Melton South),1459.45,156.72,3000
21,810,104-300-swanston-street-melbourne-vic-3000-13671355,Melton Railway Station (Melton South),3252.6,393.17,3000
22,1156,57-243-collins-street-melbourne-vic-3000-16089287,Melton Railway Station (Melton South),2168.02,254.7,3000
23,365,2205-22-24-jane-bell-lane-melbourne-vic-3000-16076879,Melton Railway Station (Melton South),3099.31,356.38,3000
24,1268,3108-500-elizabeth-st-melbourne-vic-3000-16055187,Melton Railway Station (Melton South),2788.55,325.75,3000
25,282,1505-250-elizabeth-street-melbourne-vic-3000-16078181,Melton Railway Station (Melton South),2410.42,266.29,3000
26,367,9-15-rankins-lane-melbourne-vic-3000-16076773,Melton Railway Station (Melton South),2327.08,278.0,3000
27,514,102-9-bligh-place-melbourne-vic-3000-16071806,Melton Railway Station (Melton South),2027.42,258.92,3000
28,373,3510-442-elizabeth-st-melbourne-vic-3000-16076491,Melton Railway Station (Melton South),2709.33,320.13,3000
29,510,3-27-flinders-lane-melbourne-vic-3000-16072122,Melton Railway Station (Melton South),2919.64,359.87,3000
30,671,55-1-albert-road-melbourne-vic-3000-16054304,Melton Railway Station (Melton South),3668.29,452.02,3000
31,79,918-422-collins-st-melbourne-vic-3000-16084005,Melton Railway Station (Melton South),1904.53,219.89,3000
32,869,1007-238-flinders-st-melbourne-vic-3000-16066003,Melton Railway Station (Melton South),2375.49,280.47,3000
33,978,1411-120-a-beckett-st-melbourne-vic-3000-16062428,Melton Railway Station (Melton South),2459.93,290.64,3000
34,384,2004-288-spencer-street-melbourne-vic-3000-16076141,Melton Railway Station (Melton South),1923.12,236.46,3000
35,200,4-180-little-collins-street-melbourne-vic-3000-16080818,Melton Railway Station (Melton South),2509.9,330.02,3000
36,394,2004-288-spencer-street-melbourne-vic-3000-16076141,Melton Railway Station (Melton South),1923.12,236.46,3000
37,748,2104-38-rose-lane-melbourne-vic-3000-16035456,Melton Railway Station (Melton South),1692.88,186.02,3000
38,1158,2311-601-little-lonsdale-street-melbourne-vic-3000-16089250,Melton Railway Station (Melton South),1896.82,215.53,3000
39,570,1306v-296-victoria-parade-east-melbourne-vic-3002-16067034,Melton Railway Station (Melton South),3982.15,486.24,3002
40,290,unit-13p-189-powlett-st-east-melbourne-vic-3002-16078040,Melton Railway Station (Melton South),4494.45,547.7,3002
41,1007,9-322-albert-street-east-melbourne-vic-3002-16087584,Melton Railway Station (Melton South),3897.87,498.72,3002
42,993,p08p-191-powlett-street-east-melbourne-vic-3002-16061199,Melton Railway Station (Melton South),4458.77,539.13,3002
43,103,4-23-albert-street-east-melbourne-vic-3002-16083380,Melton Railway Station (Melton South),3503.98,440.55,3002
44,53,1105-162-albert-street-east-melbourne-vic-3002-16084999,Melton Railway Station (Melton South),4378.25,546.75,3002
45,586,13-86-hotham-street-east-melbourne-vic-3002-16065438,Melton Railway Station (Melton South),4574.7,554.68,3002
46,1003,203-33-cliveden-close-east-melbourne-vic-3002-16087803,Melton Railway Station (Melton South),3401.91,427.51,3002
47,990,38-400-victoria-parade-east-melbourne-vic-3002-12863768,Melton Railway Station (Melton South),4270.67,512.52,3002
48,378,104-150-clarendon-street-east-melbourne-vic-3002-16076278,Melton Railway Station (Melton South),4464.61,525.84,3002
49,737,8-108-george-street-east-melbourne-vic-3002-16049735,Melton Railway Station (Melton South),4346.37,524.73,3002
50,816,12-vale-street-east-melbourne-vic-3002-16070321,Melton Railway Station (Melton South),4695.92,597.23,3002
51,1191,po9p-191-powlett-street-east-melbourne-vic-3002-16088441,Melton Railway Station (Melton South),4460.82,539.63,3002
52,202,23-2-wellington-crescent-east-melbourne-vic-3002-16080787,Melton Railway Station (Melton South),3580.8,447.79,3002
53,656,7-126-wellington-parade-east-melbourne-vic-3002-16061003,Melton Railway Station (Melton South),4205.37,509.41,3002
54,42,12-174-george-street-east-melbourne-vic-3002-14217723,Melton Railway Station (Melton South),4437.89,538.05,3002
55,49,107k-211-powlett-street-east-melbourne-vic-3002-16085151,Melton Railway Station (Melton South),4416.03,528.88,3002
56,377,201-65-dudley-street-west-melbourne-vic-3003-16076288,Melton Railway Station (Melton South),1559.35,194.57,3003
57,966,503-9-dryburgh-street-west-melbourne-vic-3003-16063432,Melton Railway Station (Melton South),2030.49,278.94,3003
58,873,603-spencer-street-west-melbourne-vic-3003-16065963,Melton Railway Station (Melton South),1701.87,220.21,3003
59,521,260-adderley-street-west-melbourne-vic-3003-16071421,Melton Railway Station (Melton South),1678.85,217.07,3003
60,75,78-hawke-street-west-melbourne-vic-3003-16084403,Melton Railway Station (Melton South),1572.97,208.07,3003
61,1020,g02-135-roden-street-west-melbourne-vic-3003-15657129,Melton Railway Station (Melton South),1524.42,205.77,3003
62,279,902-133-russell-st-melbourne-vic-3004-16078264,Melton Railway Station (Melton South),2675.26,326.71,3004
63,746,517-74-queens-road-melbourne-vic-3004-16040056,Melton Railway Station (Melton South),5739.78,688.5,3004
64,417,405-15-queens-road-melbourne-vic-3004-16074877,Melton Railway Station (Melton South),4103.67,533.91,3004
65,957,113-350-st-kilda-road-melbourne-vic-3004-16063679,Melton Railway Station (Melton South),4053.24,444.08,3004
66,1138,1413-610-st-kilda-rd-melbourne-vic-3004-16090064,Melton Railway Station (Melton South),5738.93,688.38,3004
67,1245,405-442-st-kilda-road-melbourne-vic-3004-16057221,Melton Railway Station (Melton South),4295.9,546.35,3004
68,811,314-499-st-kilda-road-melbourne-vic-3004-16071284,Melton Railway Station (Melton South),5249.59,626.88,3004
69,1292,19-73-queens-road-melbourne-vic-3004-16052308,Melton Railway Station (Melton South),5705.82,683.61,3004
70,1282,1312-35-albert-rd-melbourne-vic-3004-16053245,Melton Railway Station (Melton South),3556.3,457.27,3004
71,284,309-77-queens-road-melbourne-vic-3004-15339268,Melton Railway Station (Melton South),5795.46,696.52,3004
72,147,1507-12-queens-rd-melbourne-vic-3004-16081919,Melton Railway Station (Melton South),4016.17,537.13,3004
73,1271,104-12-queens-road-melbourne-vic-3004-16055021,Melton Railway Station (Melton South),4016.17,537.13,3004
74,558,303-250-st-kilda-road-melbourne-vic-3004-16068286,Melton Railway Station (Melton South),3656.86,463.3,3004
75,528,1008-80-clarendon-street-southbank-vic-3006-16070358,Melton Railway Station (Melton South),1573.0,204.97,3006
76,1194,48-183-city-road-southbank-vic-3006-16088421,Melton Railway Station (Melton South),2105.16,278.12,3006
77,681,3606-45-clarke-street-southbank-vic-3006-16052560,Melton Railway Station (Melton South),1854.8,240.4,3006
78,1103,1603-250-city-road-southbank-vic-3006-16085712,Melton Railway Station (Melton South),1726.76,237.2,3006
79,676,1701a-60-dorcas-street-southbank-vic-3006-16053477,Melton Railway Station (Melton South),3111.62,414.72,3006
80,292,1306-285-city-road-southbank-vic-3006-16077906,Melton Railway Station (Melton South),1708.72,214.85,3006
81,298,3402-61-haig-street-southbank-vic-3006-15171750,Melton Railway Station (Melton South),1652.71,224.1,3006
82,1141,1510-1-freshwater-place-southbank-vic-3006-16089972,Melton Railway Station (Melton South),2392.94,349.46,3006
83,665,level-35-3501-7-riverside-quay-southbank-vic-3006-16059042,Melton Railway Station (Melton South),2535.29,363.79,3006
84,39,602-250-city-road-southbank-vic-3006-16085393,Melton Railway Station (Melton South),1726.76,237.2,3006
85,215,705-26-southgate-avenue-southbank-vic-3006-16080371,Melton Railway Station (Melton South),2686.18,391.61,3006
86,1185,104-285-city-road-southbank-vic-3006-16088546,Melton Railway Station (Melton South),1708.72,214.85,3006
87,692,2204-250-city-road-southbank-vic-3006-16047014,Melton Railway Station (Melton South),1726.76,237.2,3006
88,360,1811-8-marmion-pl-docklands-vic-3008-16076987,Melton Railway Station (Melton South),1527.09,196.78,3008
89,1034,1112-8-mccrae-street-docklands-vic-3008-16086787,Melton Railway Station (Melton South),778.41,91.97,3008
90,371,1209-8-pearl-river-rd-docklands-vic-3008-16076547,Melton Railway Station (Melton South),1739.79,219.36,3008
91,492,1102-6-joseph-road-footscray-vic-3011-15336314,Melton Railway Station (Melton South),5010.27,528.22,3011
92,857,1201-8-joseph-road-footscray-vic-3011-16066987,Melton Railway Station (Melton South),5018.79,529.24,3011
93,572,705-8-joseph-road-footscray-vic-3011-16069015,Melton Railway Station (Melton South),5018.79,529.24,3011
94,1126,18-bell-street-seddon-vic-3011-16090272,Rockbank Railway Station (Rockbank),5813.55,615.18,3011
95,487,807-2-joseph-road-footscray-vic-3011-16073204,Melton Railway Station (Melton South),4892.63,514.1,3011
96,257,1303-8-joseph-road-footscray-vic-3011-16080780,Melton Railway Station (Melton South),5018.79,529.24,3011
97,550,705-8-joseph-road-footscray-vic-3011-16069015,Melton Railway Station (Melton South),5018.79,529.24,3011
98,573,705-8-joseph-road-footscray-vic-3011-16069015,Melton Railway Station (Melton South),5018.79,529.24,3011
99,548,705-8-joseph-road-footscray-vic-3011-16069015,Melton Railway Station (Melton South),5018.79,529.24,3011
100,547,705-8-joseph-road-footscray-vic-3011-16069015,Melton Railway Station (Melton South),5018.79,529.24,3011
101,224,2308-6-joseph-road-footscray-vic-3011-16080066,Melton Railway Station (Melton South),5010.27,528.22,3011
102,863,1201-8-joseph-road-footscray-vic-3011-16066987,Melton Railway Station (Melton South),5018.79,529.24,3011
103,203,1303-8-joseph-road-footscray-vic-3011-16080780,Melton Railway Station (Melton South),5018.79,529.24,3011
104,1255,609-2-joseph-road-footscray-vic-3011-15372330,Melton Railway Station (Melton South),4892.63,514.1,3011
105,78,1003-8-joseph-road-footscray-vic-3011-16084073,Melton Railway Station (Melton South),5018.79,529.24,3011
106,485,1-82-ashley-street-west-footscray-vic-3012-16073237,Rockbank Railway Station (Rockbank),6427.37,697.76,3012
107,815,313-110-roberts-street-west-footscray-vic-3012-16070615,Deer Park Railway Station (Deer Park),8097.93,813.22,3012
108,389,18-pitt-street-west-footscray-vic-3012-16076032,Rockbank Railway Station (Rockbank),6983.26,756.99,3012
109,878,65-francis-street-yarraville-vic-3013-16065715,Rockbank Railway Station (Rockbank),7041.93,690.15,3013
110,951,2-248-francis-street-yarraville-vic-3013-16063967,Rockbank Railway Station (Rockbank),8404.69,723.19,3013
111,710,38-urwin-street-yarraville-vic-3013-16068181,Rockbank Railway Station (Rockbank),8967.84,838.79,3013
112,398,1-16-vernon-street-south-kingsville-vic-3015-16075648,Deer Park Railway Station (Deer Park),9498.14,931.95,3015
113,654,7-11-15-basil-street-newport-vic-3015-16061402,Deer Park Railway Station (Deer Park),11571.77,1050.56,3015
114,994,10-gellibrand-street-williamstown-vic-3016-16061167,Rockbank Railway Station (Rockbank),12886.61,1172.18,3016
115,868,27-anzac-crescent-williamstown-vic-3016-16066020,Rockbank Railway Station (Rockbank),12598.49,1155.69,3016
116,439,10-3-robin-street-altona-vic-3018-16073665,Rockbank Railway Station (Rockbank),13248.24,1129.12,3018
117,1125,1-27-mcbain-st-altona-vic-3018-16090275,Rockbank Railway Station (Rockbank),13894.9,1153.68,3018
118,113,390-duke-street-sunshine-north-vic-3020-15333130,Rockbank Railway Station (Rockbank),6927.35,700.83,3020
