,rent_address,stop_name,min_distance,min_duration,postcode,price
0,1112-333-351-exhibition-street-melbourne-vic-3000-16082372,Southern Cross Railway Station (Melbourne City),3570.57,414.98,3000,600.0
1,1007-238-flinders-st-melbourne-vic-3000-16066003,Southern Cross Railway Station (Melbourne City),2375.49,280.47,3000,320.0
2,9-15-rankins-lane-melbourne-vic-3000-16076773,Southern Cross Railway Station (Melbourne City),2327.08,278.0,3000,900.0
3,2205-22-24-jane-bell-lane-melbourne-vic-3000-16076879,Southern Cross Railway Station (Melbourne City),3099.31,356.38,3000,550.0
4,1901-368-st-kilda-road-melbourne-vic-3000-16073890,Southern Cross Railway Station (Melbourne City),4088.07,442.42,3000,1800.0
5,1211-260-spencer-street-melbourne-vic-3000-16065974,Southern Cross Railway Station (Melbourne City),1600.66,174.89,3000,700.0
6,1211-200-spencer-street-melbourne-vic-3000-16073870,Southern Cross Railway Station (Melbourne City),1397.94,150.39,3000,480.0
7,612-408-lonsdale-street-melbourne-vic-3000-16079773,Southern Cross Railway Station (Melbourne City),2347.06,262.68,3000,350.0
8,1715-220-spencer-street-melbourne-vic-3000-16071670,Southern Cross Railway Station (Melbourne City),1459.45,156.72,3000,600.0
9,1206-118-russell-street-melbourne-vic-3000-16062720,Southern Cross Railway Station (Melbourne City),2618.15,319.7,3000,550.0
10,504-350-la-trobe-street-melbourne-vic-3000-15302782,Southern Cross Railway Station (Melbourne City),2281.96,282.8,3000,395.0
11,104-300-swanston-street-melbourne-vic-3000-13671355,Southern Cross Railway Station (Melbourne City),3252.6,393.17,3000,550.0
12,911-408-lonsdale-street-melbourne-vic-3000-16084620,Southern Cross Railway Station (Melbourne City),2347.06,262.68,3000,330.0
13,unit-1713-200-spencer-st-melbourne-vic-3000-16069309,Southern Cross Railway Station (Melbourne City),1397.94,150.39,3000,440.0
14,57-243-collins-street-melbourne-vic-3000-16089287,Southern Cross Railway Station (Melbourne City),2168.02,254.7,3000,400.0
15,1411-120-a-beckett-st-melbourne-vic-3000-16062428,Southern Cross Railway Station (Melbourne City),2459.93,290.64,3000,680.0
16,102-9-bligh-place-melbourne-vic-3000-16071806,Southern Cross Railway Station (Melbourne City),2027.42,258.92,3000,600.0
17,1505-250-elizabeth-street-melbourne-vic-3000-16078181,Southern Cross Railway Station (Melbourne City),2410.42,266.29,3000,520.0
18,3-27-flinders-lane-melbourne-vic-3000-16072122,Southern Cross Railway Station (Melbourne City),2919.64,359.87,3000,420.0
19,2108-288-spencer-street-melbourne-vic-3000-15572564,Southern Cross Railway Station (Melbourne City),1923.12,236.46,3000,350.0
20,2311-601-little-lonsdale-street-melbourne-vic-3000-16089250,Southern Cross Railway Station (Melbourne City),1896.82,215.53,3000,625.0
21,202a-441-lonsdale-street-melbourne-vic-3000-16090002,Southern Cross Railway Station (Melbourne City),2207.78,258.22,3000,300.0
22,11a-131-lonsdale-sreet-melbourne-vic-3000-16084984,Southern Cross Railway Station (Melbourne City),3201.5,378.98,3000,350.0
23,3108-500-elizabeth-st-melbourne-vic-3000-16055187,Southern Cross Railway Station (Melbourne City),2788.55,325.75,3000,410.0
24,2004-288-spencer-street-melbourne-vic-3000-16076141,Southern Cross Railway Station (Melbourne City),1923.12,236.46,3000,360.0
25,602-118-franklin-street-melbourne-vic-3000-16082578,Southern Cross Railway Station (Melbourne City),2791.46,335.95,3000,330.0
26,3002-288-spencer-st-melbourne-vic-3000-16081949,Southern Cross Railway Station (Melbourne City),1923.12,236.46,3000,510.0
27,217-339-swanston-st-melbourne-vic-3000-16055041,Southern Cross Railway Station (Melbourne City),2893.41,340.08,3000,380.0
28,711-422-collins-street-melbourne-vic-3000-16087505,Southern Cross Railway Station (Melbourne City),1904.53,219.89,3000,400.0
29,502-118-russell-street-melbourne-vic-3000-16090549,Southern Cross Railway Station (Melbourne City),2618.15,319.7,3000,620.0
30,2004-288-spencer-street-melbourne-vic-3000-16076141,Southern Cross Railway Station (Melbourne City),1923.12,236.46,3000,360.0
31,101-25-33-wills-street-melbourne-vic-3000-14868152,Southern Cross Railway Station (Melbourne City),2353.8,286.39,3000,400.0
32,918-422-collins-st-melbourne-vic-3000-16084005,Southern Cross Railway Station (Melbourne City),1904.53,219.89,3000,600.0
